ReadDate & Days,Read Type,Total kWh,Delivery Charges,Supply Charges,Late Payment Charges,Total Charges,Metered Peak kW,Metered On-Peak kW,Billed Peak kW,Billed On-Peak kW,TOU On-Peak kWh,TOU Off-Peak kWh,RKVA,Load Factor
6/8/2020 & 31 Days,Actual,205,$33.59 ,$20.28 ,$0.00 ,$53.51 ,0,0,0,0,0,0,0,0
5/8/2020 & 30 Days,Actual,187,$30.82 ,$24.08 ,$0.00 ,$54.54 ,0,0,0,0,0,0,0,0
4/8/2020 & 29 Days,Actual,182,$30.05 ,$25.40 ,$0.00 ,$55.09 ,0,0,0,0,0,0,0,0
3/10/2020 & 32 Days,Actual,197,$31.03 ,$27.49 ,$0.00 ,$58.16 ,0,0,0,0,0,0,0,0
2/7/2020 & 29 Days,Actual,177,$28.19 ,$24.69 ,$0.00 ,$52.52 ,0,0,0,0,0,0,0,0
1/9/2020 & 30 Days,Actual,199,$30.57 ,$27.78 ,$0.00 ,$57.99 ,0,0,0,0,0,0,0,0
12/10/2019 & 33 Days,Actual,206,$31.27 ,$28.75 ,$0.00 ,$59.66 ,0,0,0,0,0,0,0,0
11/7/2019 & 28 Days,Actual,165,$25.14 ,$19.12 ,$0.00 ,$43.90 ,0,0,0,0,0,0,0,0
10/10/2019 & 30 Days,Actual,191,$27.75 ,$20.62 ,$0.00 ,$48.01 ,0,0,0,0,0,0,0,0
9/10/2019 & 32 Days,Actual,229,$32.16 ,$24.71 ,$0.00 ,$56.54 ,0,0,0,0,0,0,0,0
8/9/2019 & 29 Days,Actual,295,$39.84 ,$31.84 ,$0.00 ,$71.35 ,0,0,0,0,0,0,0,0
7/11/2019 & 31 Days,Actual,286,$38.82 ,$30.87 ,$0.00 ,$69.36 ,0,0,0,0,0,0,0,0
6/10/2019 & 32 Days,Actual,186,$27.14 ,$20.08 ,$0.00 ,$46.89 ,0,0,0,0,0,0,0,0
5/9/2019 & 30 Days,Actual,164,$24.03 ,$21.06 ,$0.00 ,$44.76 ,0,0,0,0,0,0,0,0
4/9/2019 & 29 Days,Actual,164,$24.57 ,$22.50 ,$0.00 ,$46.74 ,0,0,0,0,0,0,0,0
3/11/2019 & 32 Days,Actual,181,$26.00 ,$24.83 ,$0.00 ,$50.50 ,0,0,0,0,0,0,0,0
2/7/2019 & 29 Days,Actual,156,$22.93 ,$21.40 ,$0.00 ,$44.00 ,0,0,0,0,0,0,0,0
1/9/2019 & 30 Days,Actual,192,$26.73 ,$26.34 ,$0.00 ,$52.74 ,0,0,0,0,0,0,0,0
12/10/2018 & 34 Days,Actual,181,$25.41 ,$24.83 ,$0.00 ,$49.91 ,0,0,0,0,0,0,0,0
11/6/2018 & 28 Days,Actual,153,$22.36 ,$17.56 ,$0.00 ,$39.59 ,0,0,0,0,0,0,0,0
10/9/2018 & 29 Days,Actual,192,$26.60 ,$20.87 ,$0.00 ,$47.14 ,0,0,0,0,0,0,0,0
9/10/2018 & 33 Days,Actual,304,$38.93 ,$33.05 ,$0.00 ,$71.65 ,0,0,0,0,0,0,0,0
8/8/2018 & 29 Days,Actual,305,$39.02 ,$33.15 ,$0.00 ,$71.84 ,0,0,0,0,0,0,0,0
7/10/2018 & 28 Days,Actual,206,$28.40 ,$22.39 ,$0.00 ,$50.46 ,0,0,0,0,0,0,0,0
